route_short_name,route_long_name,n,bp_Easy,bp_Hard,bp_Medium,bp_NA,cf_Easy,cf_Hard,cf_Medium,cf_NA,rg_Easy,rg_Hard,rg_Medium,rg_NA
460,Heathwood - City Express,42,17,1,2,22,18,3,6,15,14,7,6,15
463,Forest Lake Village - Goodna Station,38,20,1,5,12,18,2,14,4,28,2,4,4
467,Oxley Station - Mt Ommaney via Sinnamon Park,36,18,2,5,11,19,4,10,3,17,6,10,3
468,Oxley Station - Indooroopilly,32,13,1,5,13,19,5,4,4,18,1,9,4
470,Toowong - Teneriffe Ferry,59,22,2,10,25,32,10,11,6,31,13,9,6
471,Mt Coot-tha Lookout - City,31,9,3,7,12,24,1,4,2,19,5,5,2
475,Rainworth - City,30,16,0,4,10,23,3,2,2,19,2,7,2
476,Rainworth - City,30,17,0,4,9,21,5,3,1,14,5,10,1
480,Mount Coot-tha shuttle,1,1,0,0,0,1,0,0,0,0,1,0,0
50,City Loop (Anti-Clockwise),3,2,0,1,0,3,0,0,0,0,0,3,0
500,Riverlink Shopping Centre - Goodna Station,2,0,0,0,2,0,0,0,2,0,0,0,2
527,Orion - Goodna Station via Camira,1,0,0,0,1,0,0,0,1,0,0,0,1
534,Browns Plains - Orion Springfield Central,45,21,1,3,20,21,2,11,11,28,3,3,11
545,Browns Plains - Garden City,8,2,1,1,4,3,2,0,3,3,1,1,3
547,Browns Plains - Woodridge,9,0,0,0,9,0,0,0,9,0,0,0,9
551,Brisbane City - Crestmead,5,1,0,0,4,1,0,0,4,1,0,0,4
552,Kingston - Hyperdome,1,0,0,0,1,0,0,0,1,0,0,0,1
553,Trinder Park - Beenleigh,4,0,0,0,4,0,0,0,4,0,0,0,4
554,Garden City - Logan Central,21,0,0,1,20,1,1,1,18,1,1,1,18
555,Brisbane City - Hyperdome,11,1,0,0,10,1,0,0,10,1,0,0,10
561,Brisbane City - Crestmead,5,1,0,0,4,1,0,0,4,1,0,0,4
566,Brisbane City - Windaroo,5,1,0,0,4,1,0,0,4,1,0,0,4
571,Brisbane City - Hyperdome,5,1,0,0,4,1,0,0,4,1,0,0,4
573,Brisbane City - Hyperdome,5,1,0,0,4,1,0,0,4,1,0,0,4
575,Brisbane City - Hyperdome via Daisy Hill,5,1,0,0,4,1,0,0,4,1,0,0,4
576,Garden City - Springwood,7,0,0,0,7,0,0,0,7,0,0,0,7
577,Brisbane City - Springwood,11,1,0,0,10,1,0,0,10,1,0,0,10
578,Springwood - Garden City,12,0,0,0,12,0,0,0,12,0,0,0,12
579,Brisbane City - Springwood,16,1,0,0,15,1,0,0,15,1,0,0,15
586,Garden City - Springwood,6,0,0,0,6,0,0,0,6,0,0,0,6
590,Garden City - Toombul via Carindale,27,16,0,4,7,13,1,7,6,10,5,6,6
598,Great Circle Line Anti-Clockwise,66,36,2,5,23,35,1,16,14,32,9,11,14
599,Great Circle Line Clockwise,62,44,1,6,11,41,4,12,5,36,10,11,5
60,West End - Teneriffe Ferry via City/Valley,16,7,0,3,6,6,1,4,5,8,0,3,5
61,Ashgrove Shops - Coorparoo via City,21,9,0,2,10,12,0,3,6,12,2,1,6
66,UQ Lakes - RBWH via City,7,1,0,0,6,0,0,1,6,1,0,0,6
671,Strathpine Shopping Centre - Warner via Bray Park,1,0,0,0,1,0,0,0,1,0,0,0,1
672,Strathpine Shopping Centre - Warner Lakes,1,0,0,0,1,0,0,0,1,0,0,0,1
680,Redcliffe - Chermside via North Lakes and Petrie,29,13,2,3,11,19,1,4,5,18,1,5,5
690,Kippa-Ring - Sandgate via Redcliffe,19,9,1,2,7,11,1,3,4,11,0,4,4
691,Redcliffe - Sandgate Station,19,9,1,2,7,11,1,3,4,11,0,4,4
77,Eight Mile Plains - Chermside via CLEM7,15,7,0,0,8,6,0,1,8,6,0,1,8
BDBR,Airport line - Brisbane City,6,0,1,0,5,2,0,0,4,2,0,0,4
BDVL,Airport line - Varsity Lakes line,6,0,1,0,5,1,0,0,5,1,0,0,5
BNBR,Beenleigh line - Brisbane City,5,0,0,0,5,1,0,0,4,1,0,0,4
BNFG,Beenleigh line - Ferny Grove line,7,0,0,0,7,1,0,0,6,1,0,0,6
BRBD,Brisbane City - Airport line,2,0,0,0,2,1,0,0,1,1,0,0,1
BRBN,Brisbane City - Beenleigh line,14,0,0,0,14,0,0,0,14,0,0,0,14
BRBR,Brisbane City - Brisbane City,5,0,0,0,5,1,0,0,4,1,0,0,4
BRCA,Brisbane City - Caboolture line,5,0,0,0,5,1,0,0,4,1,0,0,4
BRCL,Brisbane City - Cleveland line,13,0,0,1,12,2,0,0,11,1,0,1,11
BRDB,Brisbane City - Doomben line,4,0,0,0,4,1,0,0,3,1,0,0,3
BRFG,Brisbane City - Ferny Grove line,4,0,0,0,4,1,0,0,3,1,0,0,3
BRGY,Brisbane City - Gympie North line,3,0,0,0,3,1,0,0,2,1,0,0,2
BRIP,Brisbane City - Ipswich line,5,0,0,0,5,0,0,0,5,0,0,0,5
BRNA,Brisbane City - Nambour line,1,0,0,0,1,0,0,0,1,0,0,0,1
BRRP,Brisbane City - Redcliffe Peninsula Line,4,0,0,0,4,1,0,0,3,1,0,0,3
BRSH,Brisbane City - Shorncliffe line,5,0,0,0,5,1,0,0,4,1,0,0,4
BRSP,Brisbane City - Springfield line,5,0,0,0,5,0,0,0,5,0,0,0,5
BRVL,Brisbane City - Varsity Lakes line,3,0,0,0,3,0,0,0,3,0,0,0,3
CAIP,Caboolture line - Ipswich line,5,0,0,0,5,0,0,0,5,0,0,0,5
CARW,Caboolture line - Rosewood line,5,0,0,0,5,0,0,0,5,0,0,0,5
CASP,Caboolture line - Springfield line,5,0,0,0,5,0,0,0,5,0,0,0,5
CLBR,Cleveland line - Brisbane City,9,0,0,1,8,2,0,0,7,1,0,1,7
