route_short_name,route_long_name,n,bp_Easy,bp_Hard,bp_Medium,bp_NA,cf_Easy,cf_Hard,cf_Medium,cf_NA,rg_Easy,rg_Hard,rg_Medium,rg_NA
P426,Kenmore - City Pre-Paid Rocket via Chapel Hill,27,15,2,3,7,13,4,7,3,15,9,0,3
P443,Moggil - City Pre-Paid Rocket,29,13,1,8,7,20,2,6,1,15,4,9,1
P455,Riverhills - City Pre-Paid Rocket,20,14,0,3,3,7,4,7,2,8,4,6,2
P456,Mt Ommaney - City Pre-Paid Rocket,21,14,2,3,2,11,3,6,1,7,6,7,1
P546,Park Ridge - City via Greenbank & Griffith Uni,4,1,0,0,3,1,0,0,3,1,0,0,3
P569,Brisbane City - Hyperdome,5,1,0,0,4,1,0,0,4,1,0,0,4
P581,Brisbane City - Slacks Creek,5,1,0,0,4,1,0,0,4,1,0,0,4
R109,Park Road - Albion via City,8,4,0,0,4,4,0,0,4,3,1,0,4
R296,Manly - Park Road,13,9,0,0,4,7,0,2,4,7,2,0,4
R348,Shorncliffe line,6,0,0,1,5,2,0,0,4,2,0,0,4
R395,Ferny Grove - City,9,5,0,1,3,7,0,2,0,6,2,1,0
R588,Park Road exp Altandi exp Loganlea exp Beenleigh,4,1,0,0,3,1,0,0,3,1,0,0,3
R589,Kuraby all stations - Beenleigh,1,1,0,0,0,1,0,0,0,1,0,0,0
R590,Park Road all stations - Kuraby,20,13,0,2,5,9,3,3,5,10,3,2,5
R591,Yeerongpilly all stations - Albion,11,7,0,1,3,7,1,0,3,5,1,2,3
R592,Corinda - Ipswich,7,3,0,2,2,4,0,1,2,3,0,2,2
R594,Corinda - Ipswich,2,2,0,0,0,2,0,0,0,0,0,2,0
R595,Ipswich line rail replacement,4,4,0,0,0,4,0,0,0,3,1,0,0
R596,Springfield line rail replacement,19,11,0,3,5,11,0,3,5,10,1,3,5
R597,Corinda - Ipswich,3,1,0,0,2,1,0,0,2,1,0,0,2
R599,Ipswich / Springfield,12,7,0,2,3,6,0,3,3,6,0,3,3
R603,Northgate all stations - Bowen Hills,8,2,0,1,5,2,1,1,4,3,0,1,4
R604,Northgate - Roma Street,11,5,0,1,5,5,1,1,4,5,1,1,4
R614,Bowen Hills - Zillmere exp - Caboolture,9,2,0,1,6,4,0,0,5,2,1,1,5
R615,R615 - Roma Street - Caboolture (covers QR Train,1,0,0,0,1,0,0,0,1,0,0,0,1
RPBR,Redcliffe Peninsula Line - Brisbane City,6,0,0,0,6,1,0,0,5,1,0,0,5
RPIP,Redcliffe Peninsula Line - Ipswich line,9,0,0,0,9,0,0,0,9,0,0,0,9
RPSP,Redcliffe Peninsula Line - Springfield line,9,0,0,0,9,0,0,0,9,0,0,0,9
RWBR,Rosewood line - Brisbane City,2,0,0,0,2,0,0,0,2,0,0,0,2
RWCA,Rosewood line - Caboolture line,2,0,0,0,2,0,0,0,2,0,0,0,2
RWNA,Rosewood line - Nambour line,2,0,0,0,2,0,0,0,2,0,0,0,2
RWRP,Rosewood line - Redcliffe Peninsula Line,4,0,0,0,4,0,0,0,4,0,0,0,4
SHBR,Shorncliffe line - Brisbane City,11,0,0,0,11,1,0,0,10,1,0,0,10
SHCL,Shorncliffe line - Cleveland line,20,0,0,1,19,2,0,0,18,1,0,1,18
SPBR,Springfield line - Brisbane City,2,0,0,0,2,0,0,0,2,0,0,0,2
SPCA,Springfield line - Caboolture line,4,0,0,0,4,0,0,0,4,0,0,0,4
SPNA,Springfield line - Nambour line,4,0,0,0,4,0,0,0,4,0,0,0,4
SPRP,Springfield line - Redcliffe Peninsula Line,6,0,0,0,6,1,0,0,5,1,0,0,5
SYDS,City Hopper North Quay - Sydney St,2,0,0,0,2,0,0,0,2,0,0,0,2
UQSL,"Apollo Rd, Bretts Wharf, Riverside, South Bank, UQ",3,1,0,0,2,1,0,0,2,0,0,1,2
VLBD,Varsity Lakes line - Airport line,2,0,0,0,2,1,0,0,1,1,0,0,1
VLBR,Varsity Lakes line - Brisbane City,2,0,0,0,2,1,0,0,1,1,0,0,1
VLDB,Varsity Lakes line - Doomben line,2,0,0,0,2,0,0,0,2,0,0,0,2
